Ticker,Name,Sector,Current_Price,Marcap,Revenue,Operating_Income,ROE,PER,PBR,Excess_Return_3M,Risk_Flags
069960,현대백화점,종합 소매업,146500,4323764856000,9500.6,987.8,1.03,21.81,0.94,0.0547,[위험 1-2] FCF 적자
095610,테스,특수 목적용 기계 제조업,139200,3548688000000,972.4,222.0,5.99,54.81,7.93,0.3782,[위험 3-1] 자본 조달 방식 악화
319660,피에스케이,특수 목적용 기계 제조업,126500,5451535574800,1565.9,471.8,7.24,54.73,9.62,0.3988,정상
183300,코미코,특수 목적용 기계 제조업,108600,1816205404000,1570.6,204.5,4.5,37.52,6.38,0.5233,"[위험 1-2] FCF 적자, [위험 3-1] 자본 조달 방식 악화"
004170,신세계,종합 소매업,650000,6989433940000,18471.4,1978.2,2.14,93.18,1.35,0.4017,정상
023530,롯데쇼핑,종합 소매업,173000,4942045498500,35816.0,2528.8,0.84,30.21,0.32,0.2055,정상
089970,브이엠,특수 목적용 기계 제조업,68000,2665466662000,888.9,301.4,12.54,55.29,13.69,0.0293,[위험 3-1] 자본 조달 방식 악화
242040,나무기술,소프트웨어 개발 및 공급업,8570,158842751760,370.0,4.2,1.58,-154.18,3.9,0.1881,[위험 3-1] 자본 조달 방식 악화
007810,코리아써키트,전자부품 제조업,117700,2187214944000,4199.0,264.4,3.56,35.05,5.12,0.7419,"[위험 1-1] 영업이익 흑자 대 영업현금 적자, [위험 1-2] FCF 적자"
170920,엘티씨,기초 화학물질 제조업,46500,432600959700,988.4,181.0,7.13,40.54,3.1,0.6629,[위험 3-1] 자본 조달 방식 악화
402340,SK스퀘어,기타 금융업,1258000,226968423920000,3003.5,82782.9,55.09,14.61,6.29,0.7966,"[위험 1-1] 영업이익 흑자 대 영업현금 적자, [위험 1-2] FCF 적자"
034730,SK,기타 금융업,625000,59089702945000,367512.6,36731.2,9.29,22.65,1.52,0.2248,[위험 1-2] FCF 적자
005930,삼성전자,통신 및 방송 장비 제조업,329000,1984811587416000,1338734.4,572328.0,9.7,27.44,4.72,0.2213,정상
160980,싸이맥스,특수 목적용 기계 제조업,36000,336466684400,405.2,47.3,2.04,25.23,1.73,0.1251,"[위험 1-1] 영업이익 흑자 대 영업현금 적자, [위험 1-2] FCF 적자, [위험 3-1] 자본 조달 방식 악화"
033640,네패스,반도체 제조업,34600,574174129800,1339.6,108.7,0.47,81.11,4.64,0.5501,"[위험 1-2] FCF 적자, [위험 3-1] 자본 조달 방식 악화"
012330,현대모비스,자동차 신품 부품 제조업,697000,44141401629500,155605.1,8026.5,1.74,12.71,0.86,0.0292,정상
085910,네오티스,자동차 신품 부품 제조업,30400,272171759140,178.9,22.9,3.85,50.46,4.57,0.1465,"[위험 1-2] FCF 적자, [위험 3-1] 자본 조달 방식 악화"
307950,현대오토에버,소프트웨어 개발 및 공급업,836000,13903958874000,9357.1,211.8,1.01,76.9,7.64,0.505,"[위험 1-1] 영업이익 흑자 대 영업현금 적자, [위험 1-2] FCF 적자"
000660,SK하이닉스,반도체 제조업,2070000,1905053421645000,525762.9,376102.8,24.54,25.82,11.24,0.8011,정상
028260,삼성물산,기타 전문 도매업,460500,80191868804500,104658.2,7203.6,1.55,33.16,1.3,0.0275,정상
032830,삼성생명,보험업,412500,86500000000000,147194.0,13578.1,1.49,30.13,0.96,0.3824,정상
440110,파두,반도체 제조업,109800,4158036641000,595.4,76.9,29.96,-42.73,124.25,0.0353,"[위험 1-2] FCF 적자, [위험 3-1] 자본 조달 방식 악화"
008060,대덕,기타 금융업,19710,506850987600,4426.0,532.6,3.55,27.69,0.87,0.048,[위험 1-2] FCF 적자
356860,티엘비,전자부품 제조업,106700,753179458000,758.3,107.2,6.35,28.27,5.58,0.3275,"[위험 1-1] 영업이익 흑자 대 영업현금 적자, [위험 1-2] FCF 적자"
031330,에스에이엠티,기계장비 및 관련 물품 도매업,15940,1199940804000,17953.8,3273.0,33.5,3.92,1.62,1.8016,"[위험 1-1] 영업이익 흑자 대 영업현금 적자, [위험 1-2] FCF 적자"
